prompt
Vertical or horizontal lines only
Layers upon layers upon layers
Exactly 42 lines of code
Black on black
Isometric Art
Make a landscape using only primitive shapes
Use software that is not intended to create art or images
Draw one million of something
The textile design patterns of public transport seating
Only TAU
Impossible day
Subdivision
Triangles and nothing else
Pure black and white - No gray
Design a rug
Generative palette
What happens if pi=4?
What does wind look like?
Op Art
Generative Architecture
Collision detection system
Gradients only
Brutalism
Geometric art
One line that may or may not intersect itself
Symmetry
No randomness or noise or trig
Infinite Scroll
Grid-based graphic design
Abstract map
Pixel sorting
